fiber_id head_id   ifu_x   ifu_y trace_row exclude_fiber
     160     160 -29.273  -4.521  1222.402             0
     161     161 -34.518  -4.621  1230.144             0
     162     162 -39.613  -4.721  1237.711             0
     163     163 -45.058  -4.546  1245.423             0
     164     164 -50.478  -4.646  1253.046             0
     165     165  52.701  -9.341  1260.801             0
     166     166   47.48  -9.141  1268.507             0
     167     167  42.211  -9.266  1276.081             0
     168     168  36.965  -9.191  1283.858             0
     169     169  31.546  -9.166  1291.414             0
     170     170    26.5  -9.266  1299.165             0
     171     171  21.055  -9.316  1306.794             0
     172     172   15.71  -9.166  1314.601             0
     173     173  10.515  -9.391    1322.2             0
     174     174   5.295  -9.291  1329.867             0
     175     175   -0.05  -9.266  1337.542             0
     176     176  -5.445  -9.191  1345.258             0
     177     177  -10.74  -9.241  1352.902             0
     178     178  -15.91  -9.216  1360.598             0
     179     179 -21.255  -9.091  1368.181             0
     180     180   -26.5  -9.191  1375.801             0
     181     181  -31.92  -9.091    1383.5             0
     182     182  -37.29  -9.091  1391.266             0
     183     183  -42.56  -9.067  1398.771             0
     184     184 -47.705  -9.116  1406.652             0
     185     185   -53.0  -9.116  1414.306             0
     186     186  50.078 -13.962  1422.022             0
     187     187  44.908 -13.812  1429.737             0
     188     188  39.588 -13.937  1437.413             0
     189     189  34.243 -13.912  1444.994             0
     190     190  28.948 -13.887  1452.614             0
     191     191  23.678 -13.812  1460.361             0
     192     192  18.208 -13.887  1468.145             0
     193     193  13.063 -13.862  1475.592             0
     194     194   7.718 -13.712  1483.248             0
     195     195   2.448 -13.837  1490.992             0
     196     196  -2.598 -13.862   1498.58             0
     197     197  -8.042 -13.887  1506.364             0
     198     198 -13.537 -13.737  1513.884             0
     199     199 -18.782 -13.762  1521.653             0
     200     200 -23.803 -13.862  1529.403             0
     201     201 -29.223 -13.862  1536.933             0
     202     202 -34.568 -13.762  1544.695             0
     203     203 -39.838 -13.787  1552.372             0
     204     204 -45.108 -13.737  1560.078             0
     205     205 -50.528 -13.812  1567.777             0
     206     206  52.726 -18.433   1575.24             0
     207     207  47.531 -18.433  1582.988             0
     208     208   42.31 -18.508  1590.659             0
     209     209  36.891 -18.383  1598.367             0
     210     210  31.571 -18.383  1606.069             0
     211     211  26.151 -18.358  1613.717             0
     212     212  21.005 -18.458   1621.46             0
     213     213   15.81 -18.383  1629.014             0
     214     214  10.415 -18.408  1636.779             0
     215     215   5.095 -18.458  1644.406             0
     216     216  -0.175 -18.483  1652.024             0
     217     217   -5.57 -18.433  1659.637             0
     218     218 -10.815 -18.358  1667.217             0
     219     219 -15.985 -18.533  1675.006             0
     220     220 -21.255 -18.358  1682.559             0
     221     221   -26.6 -18.358   1690.32             0
     222     222  -31.82 -18.408  1697.921             0
     223     223  -37.14 -18.458  1705.641             0
     224     224  -42.46 -18.408  1713.276             0
     225     225  -47.93 -18.383  1720.829             0
