wavelength mag_per_airmass
---------- -----------
      3400       0.681
      3500       0.631
      3600       0.568
      3700       0.511
      3800       0.471
      3900       0.427
      4000       0.374
      4100       0.337
      4200       0.307
      4300       0.283
      4400       0.259
      4500       0.237
      4600       0.219
      4700       0.203
      4800       0.191
      4900       0.181
      5000       0.173
      5100       0.167
      5200       0.162
      5300       0.157
      5400       0.152
      5500       0.148
      5600       0.146
      5700       0.143
      5800       0.141
      5900       0.134
      6000       0.123
      6100        0.11
      6200       0.099
      6300       0.091
      6400       0.086
      6500       0.083
      6600       0.076
      6700        0.07
      6800       0.063
      6900       0.055
      7000       0.043
