fiber_id head_id   ifu_x    ifu_y trace_row exclude_fiber
-------- ------- ------- -------- --------- -------------
      1      S1   0.0000 -600.0000    2031.0           0.0
      2       1   1.0751  38.4834    2025.0           0.0
      3       2   1.0751  36.0006    2018.0           0.0
      4       3   1.0751  33.5178    2012.0           0.0
      5       4   1.0751  31.0350    2005.0           0.0
      6       5   1.0751  28.5522    1999.0           0.0
      7       6   1.0751  26.0694    1992.0           0.0
      8       7   1.0751  23.5866    1986.0           0.0
      9       8   1.0751  21.1038    1979.0           0.0
     10      S2   0.0000 -600.0000    1973.0           0.0
     11       9   1.0751  18.6210    1966.0           0.0
     12      10   1.0751  16.1382    1959.0           0.0
     13      11   1.0751  13.6554    1953.0           0.0
     14      12   1.0751  11.1726    1947.0           0.0
     15      13   1.0751   8.6898    1940.0           0.0
     16      14   1.0751   6.2070    1934.0           0.0
     17      15   1.0751   3.7242    1927.0           0.0
     18      16   1.0751   1.2414    1921.0           0.0
     19       -      nan      nan    1914.0           1.0
     20      S3   0.0000 -600.0000    1908.0           0.0
     21      17   1.0751  -1.2414    1901.0           0.0
     22      18   1.0751  -3.7242    1895.0           0.0
     23      19   1.0751  -6.2070    1888.0           0.0
     24      20   1.0751  -8.6898    1882.0           0.0
     25      21   1.0751 -11.1726    1875.0           0.0
     26      22   1.0751 -13.6554    1869.0           0.0
     27      23   1.0751 -16.1382    1862.0           0.0
     28      24   1.0751 -18.6210    1856.0           0.0
     29      S4   0.0000 -600.0000    1849.0           0.0
     30      25   1.0751 -21.1038    1843.0           0.0
     31      26   1.0751 -23.5866    1836.0           0.0
     32      27   1.0751 -26.0694    1830.0           0.0
     33      28   1.0751 -28.5522    1823.0           0.0
     34      29   1.0751 -31.0350    1816.0           0.0
     35      30   1.0751 -33.5178    1810.0           0.0
     36      31   1.0751 -36.0006    1803.0           0.0
     37      32   1.0751 -38.4834    1797.0           0.0
     38       -      nan      nan    1791.0           1.0
     39    _S5_      nan      nan    1784.0           1.0
     40      33   3.2253  39.7248    1777.0           0.0
     41      34   3.2253  37.2420    1771.0           0.0
     42      35   3.2253  34.7592    1764.0           0.0
     43      36   3.2253  32.2764    1758.0           0.0
     44      37   3.2253  29.7936    1751.0           0.0
     45      38   3.2253  27.3108    1745.0           0.0
     46      39   3.2253  24.8280    1738.0           0.0
     47      40   3.2253  22.3452    1732.0           0.0
     48      S6   0.0000 -600.0000    1725.0           0.0
     49      41   3.2253  19.8624    1718.0           0.0
     50      42   3.2253  17.3796    1712.0           0.0
     51      43   3.2253  14.8968    1705.0           0.0
     52      44   3.2253  12.4140    1699.0           0.0
     53      45   3.2253   9.9312    1692.0           0.0
     54      46   3.2253   7.4484    1686.0           0.0
     55      47   3.2253   4.9656    1679.0           0.0
     56      48   3.2253   2.4828    1672.0           0.0
     57       -      nan      nan    1665.0           1.0
     58      S7   0.0000 -600.0000    1659.0           0.0
     59      49   3.2253   0.0000    1653.0           0.0
     60      50   3.2253  -2.4828    1646.0           0.0
     61      51   3.2253  -4.9656    1640.0           0.0
     62      52   3.2253  -7.4484    1633.0           0.0
     63      53   3.2253  -9.9312    1627.0           0.0
     64      54   3.2253 -12.4140    1620.0           0.0
     65      55   3.2253 -14.8968    1614.0           0.0
     66      56   3.2253 -17.3796    1607.0           0.0
     67      S8   0.0000 -600.0000    1600.0           0.0
     68      57   3.2253 -19.8624    1594.0           0.0
     69      58   3.2253 -22.3452    1587.0           0.0
     70      59   3.2253 -24.8280    1581.0           0.0
     71      60   3.2253 -27.3108    1574.0           0.0
     72      61   3.2253 -29.7936    1567.0           0.0
     73      62   3.2253 -32.2764    1561.0           0.0
     74      63   3.2253 -34.7592    1554.0           0.0
     75      64   3.2253 -37.2420    1548.0           0.0
     76       -      nan      nan    1541.0           1.0
     77      S9   0.0000 -600.0000    1534.0           0.0
     78      65   5.3754  38.4834    1528.0           0.0
     79      66   5.3754  36.0006    1521.0           0.0
     80      67   5.3754  33.5178    1515.0           0.0
     81      68   5.3754  31.0350    1508.0           0.0
     82      69   5.3754  28.5522    1502.0           0.0
     83      70   5.3754  26.0694    1495.0           0.0
     84      71   5.3754  23.5866    1489.0           0.0
     85      72   5.3754  21.1038    1482.0           0.0
     86     S10   0.0000 -600.0000    1475.0           0.0
     87      73   5.3754  18.6210    1469.0           0.0
     88      74   5.3754  16.1382    1462.0           0.0
     89      75   5.3754  13.6554    1455.0           0.0
     90      76   5.3754  11.1726    1449.0           0.0
     91      77   5.3754   8.6898    1442.0           0.0
     92      78   5.3754   6.2070    1436.0           0.0
     93      79   5.3754   3.7242    1429.0           0.0
     94      80   5.3754   1.2414    1423.0           0.0
     95       -      nan      nan    1416.0           1.0
     96   _S11_      nan      nan    1410.0           1.0
     97      81   5.3754  -1.2414    1403.0           0.0
     98      82   5.3754  -3.7242    1396.0           0.0
     99      83   5.3754  -6.2070    1390.0           0.0
    100      84   5.3754  -8.6898    1383.0           0.0
    101      85   5.3754 -11.1726    1377.0           0.0
    102      86   5.3754 -13.6554    1370.0           0.0
    103      87   5.3754 -16.1382    1363.0           0.0
    104      88   5.3754 -18.6210    1357.0           0.0
    105     S12   0.0000 -600.0000    1350.0           0.0
    106      89   5.3754 -21.1038    1343.0           0.0
    107      90   5.3754 -23.5866    1337.0           0.0
    108      91   5.3754 -26.0694    1330.0           0.0
    109      92   5.3754 -28.5522    1324.0           0.0
    110      93   5.3754 -31.0350    1317.0           0.0
    111      94   5.3754 -33.5178    1311.0           0.0
    112      95   5.3754 -36.0006    1304.0           0.0
    113      96   5.3754 -38.4834    1297.0           0.0
    114       -      nan      nan    1290.0           1.0
    115     S13   0.0000 -600.0000    1284.0           0.0
    116      97   7.5256  39.7248    1278.0           0.0
    117      98   7.5256  37.2420    1271.0           0.0
    118      99   7.5256  34.7592    1264.0           0.0
    119     100   7.5256  32.2764    1258.0           0.0
    120     101   7.5256  29.7936    1251.0           0.0
    121     102   7.5256  27.3108    1245.0           0.0
    122     103   7.5256  24.8280    1238.0           0.0
    123     104   7.5256  22.3452    1231.0           0.0
    124     S14   0.0000 -600.0000    1225.0           0.0
